framework_id,name,category,description,best_for
"bf-01","Jobs-to-be-Done","discovery","Understand what jobs users hire products for","Finding underserved needs"
"bf-02","Blue Ocean Strategy","positioning","Find uncontested market space","New market creation"
"bf-03","Value Proposition Canvas","fit","Map value propositions to customer segments","Product-market fit"
"bf-04","Business Model Canvas","model","9-block business model visualization","Business model design"
"bf-05","Disruption Theory","strategy","Low-end or new-market disruption patterns","Market entry strategy"
"bf-06","Technology Adoption Lifecycle","timing","Crossing the chasm analysis","Go-to-market timing"
"bf-07","Platform Strategy","scaling","Multi-sided platform design","Network effect businesses"
"bf-08","Lean Canvas","model","1-page business model for startups with focus on problem-solution fit","Early-stage validation"
"bf-09","Design Sprint","process","5-day structured process: map, sketch, decide, prototype, test","Rapid product validation"
"bf-10","Three Horizons Framework","timing","Balance current business, emerging opportunities, and future bets","Portfolio strategy"
"bf-11","JTBD Switch Interview","discovery","Understand the forces driving customers to switch products","Customer acquisition"
"bf-12","Wardley Mapping","strategy","Map value chain evolution to identify strategic moves","Technology strategy"
"bf-13","Innovation Ambition Matrix","portfolio","Balance core, adjacent, and transformational innovation","R&D investment allocation"
"bf-14","Ecosystem Strategy","scaling","Design multi-stakeholder value networks","Platform and marketplace businesses"
