module,phase,name,code,command,required,agent-name,description,output-location
"core","anytime","help","help","kratos-help","false","orchestrator","Context-sensitive help and routing","n/a"
"core","anytime","resume","resume","kratos-resume","false","orchestrator","Resume from last checkpoint","n/a"
"core","anytime","build-configs","build-configs","kratos-build-configs","false","orchestrator","Regenerate resolved configs","n/a"
"core","anytime","brainstorming","brainstorming","kratos-brainstorming","false","orchestrator","Facilitated brainstorming session","docs/creative-artifacts"
"core","anytime","party-mode","party-mode","kratos-party","false","orchestrator","Multi-agent group discussion","n/a"
"core","anytime","advanced-elicitation","advanced-elicitation","kratos-advanced-elicitation","false","orchestrator","Deep requirements elicitation","docs/planning-artifacts"
"lifecycle","1-analysis","brainstorm-project","brainstorm","kratos-brainstorm","false","analyst","Brainstorm a new project idea","docs/planning-artifacts"
"lifecycle","1-analysis","market-research","market-research","kratos-market-research","false","analyst","Conduct market research","docs/planning-artifacts"
"lifecycle","1-analysis","domain-research","domain-research","kratos-domain-research","false","analyst","Research a domain or industry","docs/planning-artifacts"
"lifecycle","1-analysis","technical-research","tech-research","kratos-tech-research","false","analyst","Research a technology","docs/planning-artifacts"
"lifecycle","1-analysis","create-product-brief","product-brief","kratos-product-brief","false","analyst","Create a product brief","docs/planning-artifacts"
"lifecycle","2-planning","create-prd","create-prd","kratos-create-prd","true","pm","Create a Product Requirements Document","docs/planning-artifacts"
"lifecycle","2-planning","validate-prd","validate-prd","kratos-validate-prd","false","pm","Validate PRD against standards","docs/planning-artifacts"
"lifecycle","2-planning","edit-prd","edit-prd","kratos-edit-prd","false","pm","Edit an existing PRD","docs/planning-artifacts"
"lifecycle","2-planning","create-ux-design","create-ux","kratos-create-ux","false","ux-designer","Create UX design specifications","docs/planning-artifacts"
"lifecycle","3-solutioning","create-architecture","create-arch","kratos-create-arch","true","architect","Design system architecture","docs/planning-artifacts"
"lifecycle","3-solutioning","create-epics-stories","create-epics","kratos-create-epics","true","pm","Break requirements into epics and stories","docs/planning-artifacts"
"lifecycle","3-solutioning","implementation-readiness","readiness-check","kratos-readiness-check","true","architect","Validate readiness for implementation","docs/planning-artifacts"
"lifecycle","4-implementation","sprint-planning","sprint-plan","kratos-sprint-plan","true","sm","Plan sprint from epics and stories","docs/implementation-artifacts"
"lifecycle","4-implementation","sprint-status","sprint-status","kratos-sprint-status","false","sm","Show current sprint status","docs/implementation-artifacts"
"lifecycle","4-implementation","create-story","create-story","kratos-create-story","false","sm","Create detailed story file","docs/implementation-artifacts"
"lifecycle","4-implementation","validate-story","validate-story","kratos-validate-story","false","sm","Validate story completeness","docs/implementation-artifacts"
"lifecycle","4-implementation","dev-story","dev-story","kratos-dev-story","false","dev-*","Implement a user story","docs/implementation-artifacts"
"lifecycle","4-implementation","code-review","code-review","kratos-code-review","false","dev-*","Perform code review","docs/implementation-artifacts"
"lifecycle","4-implementation","qa-generate-tests","qa-tests","kratos-qa-tests","false","qa","Generate automated QA tests","docs/test-artifacts"
"lifecycle","4-implementation","retrospective","retro","kratos-retro","false","sm","Post-sprint retrospective","docs/implementation-artifacts"
"lifecycle","4-implementation","correct-course","correct-course","kratos-correct-course","false","sm","Manage sprint scope changes","docs/implementation-artifacts"
"lifecycle","anytime","document-project","document-project","kratos-document-project","false","analyst","Document project for AI context","docs/planning-artifacts"
"lifecycle","anytime","generate-project-context","project-context","kratos-project-context","false","analyst","Generate project context for AI","docs/planning-artifacts"
"lifecycle","anytime","brownfield-onboarding","brownfield","kratos-brownfield","false","orchestrator","Onboard existing project to KRATOS","docs/planning-artifacts"
"lifecycle","quick-flow","quick-spec","quick-spec","kratos-quick-spec","false","dev-*","Create a quick tech spec","docs/implementation-artifacts"
"lifecycle","quick-flow","quick-dev","quick-dev","kratos-quick-dev","false","dev-*","Implement a quick spec","docs/implementation-artifacts"
"core","anytime","editorial-review-prose","editorial-prose","kratos-editorial-prose","false","tech-writer","Clinical copy-editing review","n/a"
"core","anytime","editorial-review-structure","editorial-structure","kratos-editorial-structure","false","tech-writer","Structural editing review","n/a"
"core","anytime","review-adversarial","adversarial","kratos-adversarial","false","orchestrator","Cynical adversarial review","n/a"
"core","anytime","review-edge-case-hunter","edge-cases","kratos-edge-cases","false","orchestrator","Edge case analysis","n/a"
"core","anytime","shard-doc","shard-doc","kratos-shard-doc","false","tech-writer","Split large doc into sections","n/a"
"core","anytime","index-docs","index-docs","kratos-index-docs","false","tech-writer","Generate doc index for folder","n/a"
"creative","anytime","design-thinking","design-thinking","kratos-design-thinking","false","design-thinking-coach","Guide human-centered design process","docs/creative-artifacts"
"creative","anytime","innovation-strategy","innovation","kratos-innovation","false","innovation-strategist","Identify disruption opportunities","docs/creative-artifacts"
"creative","anytime","problem-solving","problem-solving","kratos-problem-solving","false","problem-solver","Apply systematic problem-solving","docs/creative-artifacts"
"creative","anytime","storytelling","storytelling","kratos-storytelling","false","storyteller","Craft compelling narratives","docs/creative-artifacts"
"testing","anytime","teach-me-testing","teach-testing","kratos-teach-testing","false","test-architect","Teach testing progressively","n/a"
"testing","anytime","test-design","test-design","kratos-test-design","false","test-architect","Create risk-based test plans","docs/test-artifacts"
"testing","anytime","test-framework","test-framework","kratos-test-framework","false","test-architect","Initialize test framework","docs/test-artifacts"
"testing","anytime","ci-setup","ci-setup","kratos-ci-setup","false","test-architect","Scaffold CI/CD quality pipeline","docs/test-artifacts"
